,dealAmountYear,dealAmountMonth,buildYear,dealYear,dealMonth,dealDay,dong,apartmentName,regionalCode,areaForExclusiveUse,floor
0,"70,000",0,2003,2021,8,1,역삼동,베스젠빌,11680,157.49,5
1,"20,000",150,2004,2021,8,2,역삼동,역삼동우정에쉐르1,11680,71.78,13
2,"20,000",150,2004,2021,8,2,역삼동,역삼동우정에쉐르1,11680,71.78,13
3,"1,000",78,2004,2021,8,2,역삼동,우정에쉐르멤버스,11680,22.12,4
4,"3,000",210,2012,2021,8,3,역삼동,강남서해더블루,11680,70.57,3
5,"44,700",0,2004,2021,8,4,역삼동,역삼우정에쉐르2,11680,50.72,2
6,"20,000",240,2003,2021,8,5,역삼동,불루밍코트,11680,105.75,2
7,"5,000",180,2002,2021,8,5,역삼동,대우디오빌,11680,59.145,11
8,"1,000",140,2002,2021,8,5,역삼동,대우디오빌,11680,36.96,13
9,"2,000",80,1996,2021,8,5,역삼동,한스빌(836),11680,39.89,5
10,"1,000",95,2004,2021,8,6,역삼동,대우디오빌플러스,11680,34.41,10
11,"85,000",45,2021,2021,8,6,역삼동,시티프라디움더강남101동,11680,59.99,9
12,"5,000",210,2005,2021,8,6,역삼동,e-편한세상,11680,59.947,8
13,"165,000",0,2012,2021,8,6,역삼동,개나리SK뷰,11680,84.99,20
14,"165,000",0,2012,2021,8,6,역삼동,개나리SK뷰,11680,84.99,20
15,"50,000",170,2021,2021,8,6,역삼동,시티프라디움더강남101동,11680,59.99,6
16,"85,000",0,2002,2021,8,6,역삼동,경남아너스빌,11680,84.932,17
17,"115,500",74,2016,2021,8,6,역삼동,역삼자이,11680,114.019,26
18,"140,000",0,2014,2021,8,6,역삼동,테헤란아이파크,11680,70.8333,23
19,"50,000",165,2005,2021,8,7,역삼동,역삼래미안,11680,59.4,10
20,"86,000",150,2006,2021,8,8,역삼동,역삼I'PARK,11680,130.143,3
21,"33,600",0,2018,2021,8,9,역삼동,이지마루역삼,11680,24.6,7
22,"10,000",395,2014,2021,8,9,역삼동,테헤란아이파크,11680,70.8333,7
23,"10,000",395,2014,2021,8,9,역삼동,테헤란아이파크,11680,70.8333,7
24,"53,760",0,2010,2021,8,9,역삼동,래미안그레이튼(진달래2차),11680,59.91,6
25,"53,760",0,2010,2021,8,9,역삼동,래미안그레이튼(진달래2차),11680,59.91,1
26,"115,000",0,2005,2021,8,9,역삼동,e-편한세상,11680,59.606,12
27,"53,760",0,2010,2021,8,9,역삼동,래미안그레이튼(진달래2차),11680,59.91,6
28,"3,000",221,2005,2021,8,9,역삼동,e-편한세상,11680,59.606,25
29,"10,000",300,2005,2021,8,9,역삼동,역삼래미안,11680,59.53,11
30,"20,000",390,2005,2021,8,10,역삼동,e-편한세상,11680,84.991,6
31,"28,350",0,2002,2021,8,10,역삼동,대우디오빌,11680,30.03,6
32,"1,000",95,1996,2021,8,10,역삼동,한스빌(836),11680,39.89,7
33,"65,000",280,2014,2021,8,11,역삼동,테헤란아이파크,11680,92.6232,1
34,"50,000",120,2007,2021,8,11,역삼동,쌍용플레티넘밸류,11680,84.96,5
35,"39,900",0,2006,2021,8,11,역삼동,역삼I'PARK,11680,28.246,12
36,"25,000",6,2001,2021,8,11,역삼동,에벤에셀빌라트,11680,40,2
37,"15,000",230,2002,2021,8,11,역삼동,명인갤러리,11680,84.78,4
38,"1,000",130,2003,2021,8,12,역삼동,플래티늄1,11680,44.61,4
39,"1,000",70,2004,2021,8,12,역삼동,강남역우정에쉐르,11680,17.13,5
40,"20,000",230,2002,2021,8,12,역삼동,경남아너스빌,11680,84.688,9
41,"160,000",0,2014,2021,8,12,역삼동,테헤란아이파크,11680,92.6232,8
42,"115,000",0,2005,2021,8,12,역삼동,e-편한세상,11680,59.606,20
43,"80,850",0,2005,2021,8,12,역삼동,역삼래미안,11680,59.53,13
44,"180,000",0,2010,2021,8,13,역삼동,래미안그레이튼(진달래2차),11680,120.37,1
45,"70,000",0,2002,2021,8,13,역삼동,명인갤러리,11680,68.99,7
46,"5,000",320,2006,2021,8,14,역삼동,역삼푸르지오,11680,59.8848,21
47,"5,000",320,2006,2021,8,14,역삼동,역삼푸르지오,11680,59.8848,21
48,"10,000",195,2005,2021,8,14,역삼동,e-편한세상,11680,59.606,7
