,dealAmountYear,dealAmountMonth,buildYear,dealYear,dealMonth,dealDay,dong,apartmentName,regionalCode,areaForExclusiveUse,floor
0,"50,000",190,2006,2021,10,1,역삼동,역삼I'PARK,11680,116.285,13
1,"1,000",90,1996,2021,10,1,역삼동,한스빌(836),11680,39.89,3
2,"18,000",0,2014,2021,10,1,역삼동,이스턴오피스텔,11680,15.25,11
3,"5,000",300,2005,2021,10,1,역삼동,(828-21),11680,90.4,3
4,"76,650",0,2005,2021,10,2,역삼동,역삼래미안,11680,59.4,4
5,"13,000",116,2004,2021,10,2,역삼동,역삼우정에쉐르2,11680,50.72,3
6,"71,660",0,2005,2021,10,2,역삼동,역삼래미안,11680,59.4,8
7,"17,000",2,2003,2021,10,2,역삼동,진넥스빌2,11680,23.85,6
8,"93,000",0,2005,2021,10,2,역삼동,역삼래미안,11680,80.87,17
9,"92,400",0,2005,2021,10,2,역삼동,역삼래미안,11680,80.87,10
10,"7,000",195,2005,2021,10,2,역삼동,e-편한세상,11680,59.606,24
11,"13,000",116,2004,2021,10,2,역삼동,역삼우정에쉐르2,11680,50.72,3
12,"80,000",0,2021,2021,10,2,역삼동,시티프라디움더강남101동,11680,59.99,4
13,"90,000",0,2021,2021,10,2,역삼동,시티프라디움더강남101동,11680,59.99,16
14,"1,500",130,2004,2021,10,4,역삼동,대우디오빌플러스,11680,43.99,12
15,"105,000",0,2014,2021,10,4,역삼동,테헤란아이파크,11680,70.8333,10
16,"5,000",310,2005,2021,10,4,역삼동,e-편한세상,11680,59.606,20
17,"27,300",0,2001,2021,10,5,역삼동,한화진넥스빌,11680,39.2,7
18,"5,000",350,2005,2021,10,5,역삼동,역삼래미안,11680,59.73,19
19,"50,925",0,2002,2021,10,5,역삼동,대우디오빌,11680,59.505,24
20,"50,925",0,2002,2021,10,5,역삼동,대우디오빌,11680,59.505,24
21,"63,000",32,2005,2021,10,5,역삼동,e-편한세상,11680,59.606,4
22,"80,000",16,2005,2021,10,5,역삼동,e-편한세상,11680,59.947,14
23,"90,000",0,1997,2021,10,5,역삼동,대림역삼,11680,84.96,1
24,"60,000",155,2009,2021,10,6,역삼동,래미안그레이튼,11680,59.97,17
25,"70,000",92,2005,2021,10,6,역삼동,역삼래미안,11680,80.87,3
26,"46,500",0,2006,2021,10,6,역삼동,역삼I'PARK,11680,28.246,12
27,"15,080",210,2006,2021,10,6,역삼동,개나리푸르지오,11680,59.6851,6
28,"15,080",210,2006,2021,10,6,역삼동,개나리푸르지오,11680,59.6851,6
29,"5,000",45,2004,2021,10,6,역삼동,강남역우정에쉐르,11680,16.78,7
30,"10,000",300,2005,2021,10,6,역삼동,e-편한세상,11680,59.606,14
31,"50,000",150,2021,2021,10,6,역삼동,시티프라디움더강남201동,11680,70.54,6
32,"60,000",220,1998,2021,10,6,역삼동,동부센트레빌,11680,84.97,10
33,"60,000",220,1998,2021,10,6,역삼동,동부센트레빌,11680,84.97,10
34,"3,000",120,2006,2021,10,7,역삼동,역삼I'PARK,11680,28.246,4
35,"145,000",0,2016,2021,10,7,역삼동,역삼자이,11680,114.019,31
36,"130,000",0,2014,2021,10,7,역삼동,테헤란아이파크,11680,70.8333,11
37,"17,850",0,2012,2021,10,7,역삼동,요진와이시티미니,11680,12.1,4
38,"99,500",0,2005,2021,10,7,역삼동,역삼래미안,11680,80.87,4
39,"2,000",240,2005,2021,10,7,역삼동,에스케이허브젠,11680,84.99,12
40,"81,500",0,2021,2021,10,8,역삼동,시티프라디움더강남101동,11680,59.99,3
41,"120,000",130,2005,2021,10,8,역삼동,e-편한세상,11680,84.991,5
42,"120,000",130,2005,2021,10,8,역삼동,e-편한세상,11680,84.991,5
43,"110,000",350,2016,2021,10,8,역삼동,역삼자이,11680,114.5958,2
44,"150,000",0,2006,2021,10,9,역삼동,역삼푸르지오,11680,84.9097,7
45,"76,650",0,2006,2021,10,9,역삼동,역삼푸르지오,11680,59.8848,4
46,"150,000",0,2006,2021,10,9,역삼동,역삼푸르지오,11680,84.9097,7
47,"50,000",142,2005,2021,10,9,역삼동,e-편한세상,11680,84.991,15
48,"1,000",130,2004,2021,10,9,역삼동,대우디오빌플러스,11680,43.99,6
49,"53,000",132,2005,2021,10,9,역삼동,e-편한세상,11680,84.991,9
50,"45,000",0,2005,2021,10,9,역삼동,(828-21),11680,58.65,6
51,"99,750",0,2005,2021,10,9,역삼동,역삼래미안,11680,80.87,14
52,"55,000",215,2014,2021,10,9,역삼동,테헤란아이파크,11680,70.8333,4
53,"55,000",215,2014,2021,10,9,역삼동,테헤란아이파크,11680,70.8333,4
54,"58,000",0,2002,2021,10,9,역삼동,역삼동하나빌,11680,52.31,13
55,"100,000",150,2006,2021,10,9,역삼동,개나리래미안,11680,84.93,3
56,"30,000",0,2002,2021,10,9,역삼동,대우디오빌,11680,30.03,5
57,"10,000",320,2009,2021,10,9,역삼동,래미안그레이튼,11680,59.97,11
58,"10,000",320,2009,2021,10,9,역삼동,래미안그레이튼,11680,59.97,11
59,"100,000",150,2006,2021,10,9,역삼동,개나리래미안,11680,84.93,3
60,"84,000",0,2006,2021,10,10,역삼동,역삼푸르지오,11680,84.9097,1
61,"110,000",0,2006,2021,10,11,역삼동,역삼푸르지오,11680,59.8848,19
62,"134,400",0,2006,2021,10,11,역삼동,역삼I'PARK,11680,144.641,4
63,"10,000",220,1998,2021,10,11,역삼동,동부센트레빌,11680,59.82,17
64,"140,000",0,2012,2021,10,11,역삼동,개나리SK뷰,11680,84.99,9
65,"140,000",0,2012,2021,10,11,역삼동,개나리SK뷰,11680,84.99,9
66,"100,000",0,2021,2021,10,11,역삼동,시티프라디움더강남201동,11680,70.54,10
67,"10,000",220,1998,2021,10,11,역삼동,동부센트레빌,11680,59.82,17
68,"122,850",0,2014,2021,10,12,역삼동,테헤란아이파크,11680,92.6232,19
69,"150,000",0,2014,2021,10,12,역삼동,테헤란아이파크,11680,92.6232,13
70,"150,000",0,2014,2021,10,12,역삼동,테헤란아이파크,11680,92.6232,13
71,"102,150",110,2006,2021,10,12,역삼동,개나리푸르지오,11680,133.1686,2
72,"5,000",245,2005,2021,10,12,역삼동,역삼래미안,11680,59.4,22
73,"65,000",0,2002,2021,10,12,역삼동,대우디오빌,11680,59.505,23
74,"175,000",0,2008,2021,10,12,역삼동,역삼2차아이파크,11680,119.095,13
75,"175,000",0,2008,2021,10,12,역삼동,역삼2차아이파크,11680,119.095,13
76,"53,760",0,2010,2021,10,13,역삼동,래미안그레이튼(진달래2차),11680,59.91,11
77,"50,000",110,2021,2021,10,13,역삼동,시티프라디움더강남101동,11680,59.93,10
78,"40,000",60,1997,2021,10,13,역삼동,대림역삼,11680,59.66,15
79,"1,000",130,2003,2021,10,13,역삼동,플래티늄1,11680,46.59,3
